Site,Treatment,Plot,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
CBO,closed,15,9.057971014,7.736842105,5.943820225,4.761904762,4.761904762,4.761904762,6.540540541,7.666666667,7.806451613,6.112727273
CBO,closed,2,6.563636364,7.142857143,6.578947368,7.450704225,8.533333333,8.533333333,11.52,12.73684211,11.56,11.57142857
CBO,closed,4,9.8,9.8,9.920634921,11.25531915,10.7037037,10.7037037,12.5,13.36363636,11.64516129,11.76470588
CBO,closed,5,6.125,6.125,5.769230769,5.444444444,5.827586207,5.827586207,10,7.258064516,8,8.757575758
CBO,closed,6,3.646464646,3.172661871,3.692307692,4.9,4.58490566,4.58490566,4.883408072,4.624,4.518672199,4.841897233
CBO,closed,9,4.418181818,4.69924812,6.320987654,7.01459854,7.384615385,7.384615385,7.716049383,9.666666667,9.666666667,11.13043478
CBO,open,1,10.66666667,9.241758242,8.677966102,8.035714286,7.313043478,7.313043478,9.796296296,12.09352518,11.97637795,4.587301587
CBO,open,11,7.859813084,8.187969925,7.723404255,6.826666667,6.950413223,6.950413223,6.843575419,6.527896996,5.975609756,5.978165939
CBO,open,12,4.235294118,5.538461538,8.533333333,7.806451613,9.8,9.8,8.1,10.93939394,10.71428571,1.627175573
CBO,open,14,6.428571429,6.095238095,7.078431373,6.48,6.081081081,6.081081081,7.714285714,7.41025641,6.428571429,3.193370166
CBO,open,15,5.128205128,5.343434343,5.850746269,5.633333333,6.060606061,6.060606061,6.920903955,5.968944099,6.368421053,7
CBO,open,2,8.526315789,9.523809524,10.25581395,10.25581395,9.782608696,9.782608696,12.8,12.8,11.56,11.56
CBO,open,4,9.782608696,9.782608696,9.941176471,8.533333333,6.545454545,6.545454545,6.533333333,8.257142857,8.333333333,8.526315789
CBO,open,5,10.66666667,9.142857143,9.307692308,8.333333333,6.4,6.4,5.818181818,9,8.066666667,8.894736842
CBO,open,6,11.40594059,11.71219512,13.74025974,13.89308176,15.71028037,15.71028037,16.40909091,14.2516129,12.30769231,12.42253521
CBO,open,9,6.811320755,5.553846154,5.333333333,5,5.897959184,5.897959184,6.333333333,6.896551724,6.896551724,7.384615385
ITA,closed,1,6.05,6.519379845,6.72027972,9.307692308,10.57281553,10.62650602,8.347826087,14.14285714,14.62857143,15.04395604
ITA,closed,10,3.272727273,3.755555556,3.657142857,3.504854369,2.816901408,2.725806452,3.585365854,4.149425287,4.58490566,3.992874109
ITA,closed,12,3,2.793103448,2.285714286,4.764705882,4.571428571,5.4,7.117647059,8.894736842,10.7037037,5.389473684
ITA,closed,14,1.965986395,2.239488117,4.281553398,3.469026549,1.299047356,1.564377682,2.724473258,6.87012987,9,9.756756757
ITA,closed,15,3.12195122,2.719101124,2.505798394,2.880136986,3.04159132,2.798464491,2.85757884,4.506666667,5.827586207,5.642487047
ITA,closed,2,3.967213115,4,4.69924812,5.885057471,6,6.446428571,6.896551724,6.291262136,8.280788177,8.641196013
ITA,closed,4,6.540540541,9.135135135,3.737732657,3.181176471,3.405541562,2.48447205,3.456074766,5.065116279,4.376068376,3.619909502
ITA,closed,6,3.813559322,3.98089172,4.023923445,5.869918699,6.142857143,7.242622951,6.335092348,7.35,7.223880597,7.223880597
ITA,closed,8,4.032258065,3.787878788,4.235294118,4.562043796,4.445378151,4.173913043,4.38961039,5.444444444,6.208163265,5.540983607
ITA,open,1,4.830188679,7.384615385,9.382978723,13.75471698,8.010989011,7.673684211,8.45,12.46153846,12.90243902,11.2
ITA,open,10,4.571428571,4,3.571428571,6,5,1.470588235,1.470588235,1.470588235,2.666666667,2.076923077
ITA,open,12,4.84,4.764705882,4,4.764705882,4,5.761904762,5.761904762,6.25,6.25,6.25
ITA,open,14,7,5.538461538,6.230769231,8.066666667,1.499594485,1.945945946,3.903225806,7,8,8
ITA,open,15,2.359477124,3.239669421,3.378378378,4.172839506,5.343434343,4.787234043,8.047619048,8.333333333,4.5,4.5
ITA,open,2,6.520958084,5.975609756,4.313609467,4.109433962,5.454183267,6.29588015,7.01754386,7.21192053,7.21192053,7.880829016
ITA,open,4,7.02247191,6.118644068,4.770992366,6.5,6.563636364,6.125,7.347826087,8.166666667,8.166666667,8.757575758
ITA,open,6,7.24852071,7.442477876,4.408906883,5.223602484,4.497326203,5.564885496,7.191489362,7,8.018181818,7.5625
ITA,open,8,8.035714286,7.75862069,9.98630137,11.30588235,9.574468085,9.280701754,9,9.529411765,9.965517241,10.8
VGM,closed,1,4.263157895,4.571428571,4.481481481,3.333333333,7.2,8.166666667,7.538461538,7.347826087,8,7.347826087
VGM,closed,10,8.626865672,10.02777778,9.529411765,9.31292517,8.698795181,8.947712418,8.333333333,9.351145038,9.965517241,9.965517241
VGM,closed,11,7.424242424,8.532994924,8.595330739,9.482758621,9.565737052,9.2,9.680672269,9.482051282,9.981132075,10.79253112
VGM,closed,12,9.183673469,8.356521739,9.660377358,11.56,12.22641509,14.08045977,14.08695652,11.31404959,12.81176471,11.57142857
VGM,closed,14,6.008902077,5.975308642,5.596899225,6.347150259,6.323308271,5.728813559,5.728813559,5.041666667,5.76,6.145454545
VGM,closed,15,6.211267606,6.373493976,7.352941176,6.837398374,7.420289855,8.602150538,6.925093633,7.802547771,7.41025641,7.802547771
VGM,closed,4,11.37278107,12.36623377,13.14634146,13.14935065,13.6962963,12.5917603,11.22754491,9.565552699,9.806122449,9.706161137
VGM,closed,5,6.082278481,6.324324324,6.715455476,6.726835964,9.287292818,10.32110092,12.27802691,14.01081081,14.24418605,13.88888889
VGM,closed,6,8.421052632,9.483870968,9.446428571,11.75555556,13.12021858,13.23529412,13.92105263,15.03252033,18,18.26415094
VGM,closed,7,11.52941176,11.41311475,10.66666667,10.8137931,8.611464968,8.846889952,9.090909091,9.8,9.382978723,10.47524752
VGM,closed,8,7.807228916,7.250980392,8.510638298,8.563106796,8.532994924,7.641791045,8.566433566,10.14035088,12.90243902,11.55967078
VGM,closed,9,9.256410256,9.674469642,8.944785276,8.875197472,8.667870036,6.911400651,6.712258065,6.934931507,7.669565217,7.22265625
VGM,open,1,3,5.444444444,5,5.444444444,5.444444444,4.571428571,3.769230769,4.5,4.5,5.333333333
VGM,open,10,4.545454545,6.582089552,6.784615385,6.373493976,4.34939759,4.188405797,3.95890411,3.764705882,3.461538462,4.628571429
VGM,open,11,1.847043056,3.589634664,5.254545455,6.613756614,5.44012945,4.733727811,4.68,5.25751073,5.254545455,5.493273543
VGM,open,12,7.053333333,6.4,7.347826087,7.5,6.644067797,5.841121495,5.841121495,5.433962264,6.75862069,6.837398374
VGM,open,14,2.526863085,2.96912114,3.480549199,4.979274611,4.694444444,4.569620253,5.769230769,8,6.533333333,7.529411765
VGM,open,15,6.368421053,4.571428571,2.651376147,4.235294118,5.444444444,7.75862069,7.048780488,7.142857143,7.529411765,6.04109589
VGM,open,4,4.71657754,3.951020408,3.750684932,4.498783455,5.230936819,6.714285714,8.13253012,8.894736842,8.50310559,8.93236715
VGM,open,5,11.2,11.87878788,9.796610169,13.78481013,12.85714286,14,14.62857143,13.25454545,13.71428571,13.25454545
VGM,open,6,3.144728634,4.665148064,5.915739269,8.569979716,9.469565217,8.469586375,8.662983425,9.87804878,9.580310881,9.442622951
VGM,open,7,5.140672783,5.405405405,5.680497925,7.424242424,9.307692308,9.351145038,10.57281553,9.057971014,7.442477876,7.723404255
VGM,open,8,3.705128205,4.569948187,4.588014981,6.106870229,6.675090253,7.608695652,8.670103093,10.24590164,10.90322581,10.31578947
VGM,open,9,4.816666667,5.651162791,4.853211009,7.566929134,7.191489362,9.241758242,6.911262799,10.57281553,6.230769231,6.255319149
